passage,tag
"The old Hargrove house had been empty for eleven years and it showed in the way empty houses always showed — a particular quality of stillness that felt less like absence and more like waiting. Holly pushed the front door open with her shoulder and it gave with a groan that seemed disproportionate to the effort. She swept her flashlight across the entryway: peeling wallpaper, a chandelier missing half its pendants, floorboards that bowed slightly at the center. She was not afraid of old houses. She had grown up in old houses. She told herself this and moved further inside, her footsteps loud in the silence. The beam of the flashlight caught something in the far corner — just a coat rack, she saw, a coat rack with something hanging from it — and her heart made its unasked-for comment. She steadied the beam and identified the object as a rain slicker, old and stiff, and exhaled slowly. Outside, the wind moved through the eaves in a way that produced a sound she did not care for. She checked the window latches and found them all unsecured and locked the two she could reach. She made a note to come back in daylight.",weak
"The phone call had been three minutes of careful, controlled language from a man who did not do careful and controlled, and she had spent the twenty minutes since it ended sitting at her kitchen table trying to determine what the careful and controlled was covering. She had known Marcus Hale for six years and she knew the register he used when something was wrong, and that had been the register. She turned her coffee mug in her hands and went through the conversation again, listening for the thing beneath the words. He had asked twice if she was home. He had asked if she had plans to go out. He had said to stay inside if she could manage it, phrasing it as a casual suggestion in a tone that was not casual. She looked at her front door and verified that she had locked it when she came in, which she had. She got up and checked the back door as well, and the window above the kitchen sink, and then stood in her kitchen and waited for the phone to ring again.",weak
"The man had been at the far end of the bar for an hour, nursing the same drink, and looking at her with the particular quality of attention she had learned to categorize and file. She kept her eyes on the conversation she was having and tracked him in her peripheral vision the way she had taught herself to do. He was not doing anything. He was sitting and drinking and looking, which were all things people in bars did, and none of which obligated her to feel the way she felt. She finished her drink and said her goodbyes and found her coat and calculated the distance to the door and the distance from the door to her car and the route between them. The exit took her past him. He said nothing as she passed and she did not look at him and she was through the door and in the parking lot with the cold air on her face. She found her keys before she reached her car, the way she always did, the way she had done since she was nineteen years old, and she was in the car and the doors were locked before she breathed normally again.",weak
"The letter had no return address and the handwriting was not anyone she recognized. She set it on the table and made herself finish her coffee before she opened it, because whatever it contained was going to be the same thing whether she read it now or in five minutes, and five minutes of not-knowing seemed preferable to five minutes of knowing. She opened it. Inside was a newspaper clipping — local paper, two years old — about a house fire in which no one had been hurt. She had lived in that house. She turned the clipping over and found nothing written on the back and turned it over again and read it a second time as though it would yield more on second reading, which it did not. She put it back in the envelope and put the envelope in the drawer beside the phone. She sat for a while at the kitchen table. She got up and checked that the deadbolt was engaged and then went to the window and looked out at the street, which was empty and ordinary and gave her nothing.",weak
"She had been hearing the same car for three days — not the same route, which would have been explainable, but the same car appearing at different times and different locations in a pattern that had too much variation to be coincidence and not enough to be something else. A dark blue sedan, American make, mid-nineties, with a dent in the rear quarter panel. She had noted the license plate on the second day. She had not yet decided what to do with the note. She told herself there were a hundred explanations for a car appearing in the same radius as a person three days running in a small town, and she believed all of them individually and none of them collectively. She changed her route to work and varied the timing by forty minutes in either direction and drove past her building twice before parking, which were things she had not done in years and had hoped not to do again. The car did not appear on day four and she told herself she had been imagining it and mostly believed this.",weak
"The trail through the state forest was well-marked and she had run it a hundred times and she knew every turn and root and muddy section of it, which was why it registered when something was different. The blaze on the oak at the half-mile marker had been repainted — brighter than the others, recent. She slowed without stopping and looked at it and kept moving. Someone had been on this trail recently with paint and a reason for painting. She catalogued this and kept running but ran with the particular quality of attention she used in situations she had not fully assessed. The light was good and the trail was familiar and she was fine. She told herself she was fine. She noted the second repainted blaze at the three-quarter mile marker and turned around at the one-mile point instead of completing the loop, which added forty minutes to her return but was the choice she made.",weak
"She found the back door unlocked when she came home, which could have meant she had forgotten to lock it and probably meant she had forgotten to lock it and was the kind of thing she would normally dismiss and could not dismiss tonight, after the week she had been having. She stood on the back porch with her key in her hand and looked at the door and the yard and the garage and the windows of the house, which were all dark and unrevealing. She had left at seven-fifteen this morning. The door looked undisturbed — no marks on the frame, no damage to the lock. She pushed it open and stood in the doorway and listened to the house before she went into it. The house was quiet in the way houses were quiet when they were empty, which she had learned to distinguish from the quiet of a house that was not. She went through it room by room anyway, checking each one before she moved on, and found it empty and ordinary and exactly as she had left it, and was not entirely reassured.",weak
"The thing about working late in an office building was that the building itself changed register after eight o'clock — the HVAC running more prominently, the distant sounds of the city taking on a different character, the elevator opening and closing on other floors for reasons she could not account for. She had worked late in this building for four years and none of this had ever bothered her and it was bothering her tonight, which she attributed to the email. The email had come at six-forty-seven, from an address she did not recognize, containing only her full name and her office number and the words: I know you're still there. She had forwarded it to IT and to her manager and had debated going home and had decided not to be driven out of her own office by an email that was probably nothing. The elevator opened on her floor and she listened to the footsteps that followed and tracked them to the office three doors down from hers, which was where David worked and where David was apparently still working. She let out a breath and returned to her screen.",weak
"He had left the party before she did and she had noticed and then told herself she had not noticed, and then the night air outside the party was cold and the parking lot was badly lit and she noticed again. She found her car in the second row where she had left it and checked the backseat before she got in, which was something she had read about and implemented as habit rather than necessity. The back seat was empty. She started the car and pulled out of the lot and the road back to town was empty at this hour, which was normal for a Tuesday in October. A vehicle turned onto the road behind her — its headlights appearing at the junction, keeping pace. She adjusted her speed slightly upward and the headlights kept pace. She turned on a road she did not normally use and drove two minutes and turned again and the headlights were not behind her and she drove the rest of the way home with the radio on and parked in the lighted space near the entrance of her building.",weak
"The old mine road had not been maintained since the late seventies and driving it at dusk was the kind of decision she would not have made an hour earlier but was committed to now, with four miles still between her and the highway. The headlights picked up ruts and loose rock and the occasional suggestion of the road's edge, beyond which the hillside fell away to a dry creek bed she could hear but not see. She drove slowly and the truck obliged her with its four-wheel drive and she did not look at the drop on the passenger side more than twice. At the two-mile mark, another vehicle's lights appeared in her rearview mirror — back where the junction was, which meant someone had followed her onto the road or was also driving the road for their own reasons. She kept her speed and watched the lights in the mirror and they fell back when she went around a curve and did not reappear. She reached the highway with her hands aching from the grip she had maintained on the wheel and turned north toward town.",weak
