passage,tag
"He kissed her once, slowly, as though establishing something, and then he pulled back and looked at her face and whatever he found there made him kiss her again, longer this time, his hands moving to her waist. She had been telling herself for six weeks that this was not going to happen and she had been wrong about that in a way she was prepared to be wrong about. He walked her backward toward the bedroom with a patience that suggested he intended to take his time and she found this both infuriating and exactly right. He undressed her with a care that felt like attention — each button, each clasp, a considered act — and she stood in the lamplight of the bedroom and let him look at her, which was itself a form of trust. He traced the line of her collarbone with one finger and then with his mouth and she closed her eyes and felt the warmth of it travel through her. She reached for his shirt and he helped her with it and she spread her hands on his chest and felt his heart beating under her palms, fast and deliberate. He laid her down on the bed and followed her and the weight of him was exactly what she had known it would be, certain and present. He moved with a thoroughness that suggested he had been paying attention to her for longer than she had known he was paying attention, and she arched into him and gave herself over to being known in this particular way. When she finally came apart it was with his name in her mouth and his eyes on her face and the whole complicated history of the past six weeks resolving itself into something simple and complete. She lay afterward with her head on his chest and his hand moving slowly through her hair and the night was quiet around them and she did not feel the need to say anything, which was its own form of intimacy.",strong
"She had not planned for this — had not planned for any of it, not the dinner that had turned into three hours, not the walk after, not the way he had stopped at the corner of Fifth and looked at her and said her name as if it were a question. She had answered it. They were in his apartment now, and the lights were low, and he was kissing her throat with the focused attention of a man who had decided to be thorough. She pulled his shirt free of his trousers and he lifted his arms and she took it off him and she looked at him in the dim light with an appreciation that was also a kind of relief — that he was real, that this was real, that all of it was happening as it appeared to be happening. He unzipped her dress and it fell and she stepped out of it without ceremony and he looked at her in the way men looked at women they had been wanting for a long time, which was not like other kinds of looking. He carried her to the bed — carried her, which she would have predicted finding ridiculous and did not find ridiculous — and laid her down and covered her with his body. He kissed her mouth and then her jaw and her throat and the curve of her breast and she heard herself make a sound that embarrassed her not at all. He moved down her body with unhurried deliberation and she understood that he intended to take her apart before he was done and she let him, because the letting was its own pleasure. She gripped the sheets and gave herself over to what he was doing and when she finally shattered it was enormous and prolonged and left her unable to speak. He moved up her body and looked at her face and she looked at his and then she pulled him down and they began again. She lay afterward with her head on his chest and listened to his heartbeat slow. The room was warm and the night was quiet and she felt no inclination to move.",strong
"The motel room was not romantic and neither of them pretended it was, which was itself a kind of honesty she found she appreciated. He kissed her the moment the door closed and she kissed him back with the accumulated wanting of four months, which was considerable. They undressed each other without ceremony, practical and eager, buttons and zips and the economy of two people who have made a decision and are committed to it. She looked at him in the yellow light of the bedside lamp and he looked at her and neither of them spoke because speaking would have been a step sideways from the thing they were moving toward. He pulled her onto the bed and she went with him and the sheets were cool against her back and he was warm above her. He kissed her mouth and then worked his way down her body with a patience she had not expected from him, learning her, and she arched under his hands and told him with her body what she wanted. When he finally entered her she exhaled as though she had been holding her breath for months, which in a sense she had. He moved inside her with a rhythm that built steadily and she matched it, her hands on his back, feeling the muscles move under her palms. She came with a force that surprised her and gripped him and felt him follow her and they lay afterward tangled and breathing and she laughed first, which was not what she would have predicted, and he laughed too and it was the best possible sound in that particular room. She lay afterward in the lamplight and felt the particular satisfaction of a decision well-made. He turned on his side to look at her and she looked back and they were both entirely at ease.",strong
"She had been watching his hands all evening — the way they moved when he talked, the way he held his glass — and now those hands were on her and she understood what she had been waiting for. He undressed her slowly in the low light of the bedroom, taking his time with each layer, and she stood and let him because the slowness was its own kind of pleasure. He unhooked her bra and slid the straps off her shoulders and looked at her with an expression that made her feel beautiful in a specific and unambiguous way. She reached for his belt and he helped her and then she helped him and they moved to the bed in a tangle of clothing and limbs and the laughing that happened when people were very comfortable and very urgent at the same time. He kissed her throat and her shoulders and her breasts and she ran her hands through his hair and held him close and let herself be attended to in a way she had not let herself be attended to in a very long time. He moved between her thighs and she opened to him and when he looked at her before he entered her, that long look was the most intimate moment of the evening. She felt him fill her and she exhaled and moved with him, finding the rhythm, matching the pace he set and then pushing past it. She came hard and held him and felt him come with her and they stayed tangled afterward with no urgency to move. She fell asleep with her back against his chest and his arm around her waist and the lamp still on. She stayed, which she had not planned, and in the morning she was glad of it. He made coffee and they sat in the kitchen and talked and none of it was difficult.",strong
"The rain was hammering the windows and neither of them was going anywhere and they had stopped pretending they were going to watch the movie approximately forty minutes ago. He kissed her on the couch first, one hand on her jaw, tilting her face up to his, and she felt the kiss all the way to her feet. She pulled him closer by his lapels and kissed him back and the movie played unwatched behind them. He stood and took her hand and she stood too and they went down the hallway and into his bedroom as though this had always been the destination. He undressed her in the dark, slowly and by feel, and she undressed him and they stood close in the dark learning each other with their hands before he turned on the lamp on the nightstand and looked at her in its light. She felt no self-consciousness, which surprised her and then did not surprise her, because he was looking at her in a way that made self-consciousness impossible. He laid her on the bed and kissed her from her collarbone to her hip and she gripped the pillow and made sounds she did not try to suppress. When he finally came into her she rose to meet him and they moved together with a fluency that felt like recognition, as though their bodies had known each other much longer than their minds had. She came twice before he did and the second time she pulled him with her and afterward they lay in the lamplight and listened to the rain. She fell asleep before she could examine any of it and woke in the morning feeling that something had been settled.",strong
"She had made herself dinner and was eating it alone when he knocked on the door, and she had stood in the kitchen for a moment holding her fork before she answered it, because she had known what his being there meant and had needed a moment with the knowing. She let him in. They stood in her kitchen and looked at each other and the space between them closed in the way that spaces close when both people have decided they are going to close. He kissed her first and she kissed him back and dinner was abandoned on the counter. He backed her slowly toward the bedroom with his hands on her hips and his mouth on her throat and she reached back to guide them through the doorway without looking. He undressed her with a care that felt almost reverent and she stood in the lamplight of her bedroom and did not look away from his eyes, which were on her face and then on her body and then on her face again. She pulled him close and down onto the bed and he came willingly and covered her and the weight and warmth of him was the thing she had been missing without letting herself know she was missing it. They found their rhythm quickly, as if they had been doing this for years rather than for the first time, and she understood that some people simply fit together in this way. She came with his mouth at her ear and his hand between them and her fingers gripping his shoulder and it was both better and more tender than she had expected. They stayed tangled afterward, her head on his chest, his hand on her back, and neither of them mentioned dinner.",strong
"He took the pins from her hair one by one and she stood still and let him, feeling each one come loose, feeling her hair fall around her shoulders. It was such a small thing and it was not a small thing. He ran his hands through her loosened hair and kissed the back of her neck and she closed her eyes and felt desire move through her in a slow, deliberate wave. She turned and they kissed and the kissing went on for a long time in the way kissing went when there was no hurry and no destination except the destination they had already chosen. He undressed her and she undressed him and they stood together in the cool air of the room and he looked at her as though he intended to memorize her. He carried her to the bed and laid her down and covered her body with his and she pulled him close with her hands on his back. He moved slowly and then less slowly and she rose with him and matched him and the room contracted to the two of them and the single burning point of what they were doing. He brought her to the edge with his hands and then brought her over it and held her through it and she was still trembling when he entered her and the trembling became something else. She felt everything with unusual clarity — his weight, his heat, the specific texture of the sheets, his breath against her neck — as though her senses had been sharpened by the wanting. When they both came it was together and prolonged and afterward she could not have said how much time had passed. She lay in his arms and felt the weight of the evening settle into something good. He kissed her temple and she closed her eyes and decided that goodnight could wait until morning.",strong
"They had been circling this for three months and she was done circling. She kissed him first, which she had known she was going to do before she did it, and felt him go very still for one second before he kissed her back. He pulled her close and they stood in the kitchen kissing until the kissing was not enough and he took her hand and looked at her and she nodded and they went to the bedroom. He undressed her and she undressed him and they looked at each other in the afternoon light that came through the thin curtains. She spread her hands on his chest and felt his heart and he put his hands on her hips and pulled her to him and the sensation of skin against skin was better than she had imagined it and she had imagined it thoroughly. He laid her down and kissed her mouth and her throat and her breasts and moved down her body with an unhurried thoroughness and she held his head with both hands and gave herself over to what he was doing. She came the first time from his mouth alone, loudly and without apology, and he moved up her body and looked at her flushed face with satisfaction and she pulled him down and into her. They moved together and she wrapped her legs around him and felt him deep inside her and the pleasure of it was so acute that she had to close her eyes. The second time she came she brought him with her and they stayed locked together afterward and she laughed from the sheer surplus of it. She turned on her side and looked at him in the grey light and he looked at her. Neither of them said anything and nothing needed to be said.",strong
"She woke in the grey light before the alarm and turned and found him already awake, watching her. He said he had been watching her sleep, which she might have found alarming from anyone else and did not find alarming from him. She reached up and put her hand on his face and he turned his mouth into her palm. What happened next was not what had happened the night before — it was slower and quieter and more deliberate, the way morning was different from night. He pulled her close and kissed her temple and then her mouth and she moved toward him in the loose and easy way of someone still half in sleep, all her defenses down. He moved over her and she opened to him without hurry, both of them unhurried, the morning light growing slowly around them. He moved inside her and she felt it through her whole body, languid and then less languid, the pleasure building in a long, slow wave. She held his face in her hands and watched him and let him watch her and the watching was part of it, the intimacy of being seen in this. She came quietly and he followed her and they lay together afterward in the growing light and she thought that this was the part she had not known to want — not just the night, but the morning after it, the ordinary and extraordinary fact of waking up and choosing to begin again. She pressed her face against his shoulder and felt his arm tighten around her. The room was quiet and warm and neither of them suggested she leave.",strong
"He had her against the wall in the hallway before they reached the bedroom and she was entirely in favor of this development. She kissed him back with everything she had and her hands were in his hair and his hands were everywhere and the hallway was perfectly adequate for their current purposes. He got her blouse open and she helped him and he pressed his mouth to her throat and the top of her breast and she arched into him. She pulled at his shirt and he shrugged out of it without letting go of her and she spread her hands on the warm skin of his back. They made it to the bedroom in stages, acquiring floor space in increments, leaving a trail of clothing that neither of them noted. She went down onto the bed with him above her and looked up at his face and the look on it made her pull him down and closer. He kissed her mouth and then her breasts and then moved down her body and she gripped the headboard and stopped thinking in anything but sensation. He brought her to climax with his mouth and held her through it and then moved over her and entered her slowly and she gasped at the fullness of it. He moved and she moved and the rhythm they found was urgent and deep and she came again while he was still inside her, a sharp and total pleasure, and he followed moments after and they lay tangled and breathing in the wreckage of the bed. He pulled her close and she went close and they lay in the quiet of the morning and neither of them was in any hurry to begin the day.",strong
